status,response_time
200,8.488
200,8.480
200,12.740
200,8.438
200,12.803
200,8.077
200,8.448
200,8.511
200,12.630
200,8.422
200,8.426
200,12.615
200,8.439
200,12.791
200,12.695
200,12.604
200,8.446
200,8.408
200,12.746
200,12.742
200,12.654
200,8.670
200,8.669
200,12.565
200,12.673
200,8.376
200,8.656
200,8.451
200,8.003
200,8.644
200,12.672
200,12.557
200,12.634
200,12.623
200,12.537
200,8.390
200,12.598
200,12.706
200,12.622
200,12.684
200,12.596
200,12.696
200,12.612
200,12.599
200,12.505
200,12.507
200,12.688
200,12.667
200,12.500
200,12.608
200,12.479
200,12.569
200,12.608
200,12.493
200,12.496
200,12.475
200,12.652
200,12.621
200,12.594
200,12.567
200,12.474
200,12.448
200,12.467
200,12.550
200,12.526
200,12.562
200,12.565
200,12.602
200,12.537
200,12.503
200,12.581
200,12.498
200,12.420
200,12.536
200,12.598
200,12.493
200,12.477
200,12.527
200,12.563
200,12.511
200,12.569
200,12.556
200,12.386
200,12.567
200,12.451
200,12.490
200,12.367
200,12.439
200,12.481
200,12.491
200,12.435
200,12.378
200,12.482
200,12.520
200,12.351
200,12.464
200,12.343
200,12.430
200,12.351
200,12.450
